"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1115","","","","0"
"2018","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1162","","","","0"
"2019","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1209","","","","0"
"2020","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1264","","","","0"
"2021","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1347","","","","0"
"2022","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1463","","","","0"
"2023","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1647","","","","0"
"2024","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1724","","","","0"
"2025","Halifax, Nova Scotia","2011S0503205","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824801","10.4.3","1838","","","","0"


