"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","76700","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","70300","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420211","5.1.1.4","72600","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","266","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","268","A","","","0"
"2017","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","269","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","271","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","273","A","","","0"
"2020","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","273","A","","","0"
"2021","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","277","A","","","0"
"2022","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","282","A","","","0"
"2023","Nova Scotia","2021A000212","Economic families","Total income","Number with income","Number","223","thousands","3","v96420268","5.2.1.1","287","A","","","0"
"2015","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","30382","A","","","0"
"2016","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","31273","B","","","0"
"2017","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","30740","A","","","0"
"2018","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","31476","A","","","0"
"2019","Nova Scotia","2021A000212","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420269","5.2.1.2","31927","A","","","0"
