"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","816931","","","","0"
"2019","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","825234","","","","0"
"2020","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","832021","","","","0"
"2021","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","836615","","","","0"
"2022","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","848776","","","","0"
"2018","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","218126","","","","0"
"2019","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","221325","","","","0"
"2020","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","224456","","","","0"
"2021","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","227448","","","","0"
"2022","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","231055","","","","0"
"2018","Trois-Rivières (CMA), Quebec","2016S0503442","Both sexes","All ages","Persons","249","units","0","v1060783381","37.1.1","159170","","","","0"
"2019","Trois-Rivières (CMA), Quebec","2016S0503442","Both sexes","All ages","Persons","249","units","0","v1060783381","37.1.1","160902","","","","0"
"2020","Trois-Rivières (CMA), Quebec","2016S0503442","Both sexes","All ages","Persons","249","units","0","v1060783381","37.1.1","163374","","","","0"
"2021","Trois-Rivières (CMA), Quebec","2016S0503442","Both sexes","All ages","Persons","249","units","0","v1060783381","37.1.1","165037","","","","0"
"2022","Trois-Rivières (CMA), Quebec","2016S0503442","Both sexes","All ages","Persons","249","units","0","v1060783381","37.1.1","167732","","","","0"
"2018","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4264846","","","","0"
"2019","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4334308","","","","0"
"2020","Montréal (CMA), Quebec","2016S0503462","Both sexes","All ages","Persons","249","units","0","v1060785691","44.1.1","4366487","","","","0"
