"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421051","6.1.1.4","76300","A","","","0"
"2022","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421051","6.1.1.4","69700","A","","","0"
"2023","New Brunswick","2021A000213","Economic families and persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421051","6.1.1.4","70100","A","","","0"
"2015","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","220","A","","","0"
"2016","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","221","A","","","0"
"2017","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","221","A","","","0"
"2018","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","222","A","","","0"
"2019","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","223","A","","","0"
"2020","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","223","A","","","0"
"2021","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","225","A","","","0"
"2022","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","230","A","","","0"
"2023","New Brunswick","2021A000213","Economic families","Total income","Number with income","Number","223","thousands","3","v96421108","6.2.1.1","235","A","","","0"
"2015","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","23338","A","","","0"
"2016","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","23955","A","","","0"
"2017","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","24486","A","","","0"
"2018","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","25707","A","","","0"
"2019","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","25163","A","","","0"
"2020","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","27085","A","","","0"
"2021","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","27153","A","","","0"
"2022","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","26379","A","","","0"
"2023","New Brunswick","2021A000213","Economic families","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96421109","6.2.1.2","26972","A","","","0"
