"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-04","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","1829","","","","0"
"2025-07","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","2557","","","","0"
"2025-10","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","2148","","","","0"
"2015-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","73","","","","0"
"2015-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","252","","","","0"
"2015-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","501","","","","0"
"2015-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","293","","","","0"
"2016-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","70","","","","0"
"2016-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","300","","","","0"
"2016-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","375","","","","0"
"2016-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","288","","","","0"
"2017-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","69","","","","0"
"2017-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","280","","","","0"
"2017-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","436","","","","0"
"2017-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","395","","","","0"
"2018-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","107","","","","0"
"2018-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","269","","","","0"
"2018-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","442","","","","0"
"2018-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","337","","","","0"
"2019-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","97","","","","0"
"2019-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","224","","","","0"
"2019-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","463","","","","0"
"2019-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","380","","","","0"
"2020-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","93","","","","0"
"2020-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","206","","","","0"
"2020-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","378","","","","0"
"2020-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","330","","","","0"
"2021-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","75","","","","0"
"2021-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","432","","","","0"
"2021-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","491","","","","0"
"2021-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","333","","","","0"
"2022-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","77","","","","0"
"2022-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","375","","","","0"
"2022-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","520","","","","0"
"2022-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","429","","","","0"
"2023-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","260","","","","0"
"2023-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","367","","","","0"
"2023-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","362","","","","0"
"2023-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","408","","","","0"
"2024-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","196","","","","0"
"2024-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","392","","","","0"
"2024-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","553","","","","0"
"2024-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","433","","","","0"
"2025-01","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","250","","","","0"
"2025-04","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","375","","","","0"
"2025-07","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","637","","","","0"
"2025-10","New Brunswick","2016A000213","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730447","6.1.2.1","454","","","","0"
"2015-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","81","","","","0"
"2015-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","182","","","","0"
"2015-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","345","","","","0"
"2015-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","268","","","","0"
"2016-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","38","","","","0"
"2016-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","208","","","","0"
"2016-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","307","","","","0"
"2016-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","252","","","","0"
"2017-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","141","","","","0"
"2017-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","226","","","","0"
"2017-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","356","","","","0"
"2017-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","421","","","","0"
"2018-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","82","","","","0"
"2018-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","317","","","","0"
"2018-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","325","","","","0"
"2018-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","449","","","","0"
"2019-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","43","","","","0"
"2019-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","623","","","","0"
"2019-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","711","","","","0"
"2019-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","394","","","","0"
"2020-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","163","","","","0"
"2020-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","478","","","","0"
"2020-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","960","","","","0"
"2020-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","875","","","","0"
"2021-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","161","","","","0"
"2021-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","838","","","","0"
"2021-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","733","","","","0"
"2021-10","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","766","","","","0"
"2022-01","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","339","","","","0"
"2022-04","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1044","","","","0"
"2022-07","New Brunswick","2016A000213","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730491","6.1.4.1","1069","","","","0"
