"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Canada","2021A00001124","Emigrants","Total - gender","All ages","Persons","249","units","0","v1589932191","1.5.1.1","99756","","","","0"
"2022/2023","Canada","2021A00001124","Emigrants","Total - gender","All ages","Persons","249","units","0","v1589932191","1.5.1.1","113291","","","","0"
"2023/2024","Canada","2021A00001124","Emigrants","Total - gender","All ages","Persons","249","units","0","v1589932191","1.5.1.1","116488","","","","0"
"2024/2025","Canada","2021A00001124","Emigrants","Total - gender","All ages","Persons","249","units","0","v1589932191","1.5.1.1","120016","","","","0"
"2015/2016","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","39660","","","","0"
"2016/2017","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","63484","","","","0"
"2017/2018","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","58406","","","","0"
"2018/2019","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","57238","","","","0"
"2019/2020","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","45922","","","","0"
"2020/2021","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","40901","","","","0"
"2021/2022","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","52503","","","","0"
"2022/2023","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","51582","","","","0"
"2023/2024","Canada","2021A00001124","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1589932533","1.6.1.1","53036","","","","0"
