"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590013731","7.3.1.1","370","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590013731","7.3.1.1","1200","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590013731","7.3.1.1","1736","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590013731","7.3.1.1","2386","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590013731","7.3.1.1","1935","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","55","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","67","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","40","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","30","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","-38","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","23","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","-8","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","115","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","46","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590014073","7.4.1.1","49","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","73","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","167","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","182","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","127","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","58","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","87","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","88","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","173","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","120","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590014415","7.5.1.1","124","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","59","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","100","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","142","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","97","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","96","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","64","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","96","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","58","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","74","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590014757","7.6.1.1","75","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Net temporary emigration","Total - gender","All ages","Persons","249","units","0","v1590015099","7.7.1.1","41","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","-476","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","-164","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","-12","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","59","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","1","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","638","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","1019","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","941","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","844","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015441","7.8.1.1","82","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-202","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","150","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-25","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-37","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-42","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-90","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-178","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-75","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-85","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590015783","7.9.1.1","-99","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","-7","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","5","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","125","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","153","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","123","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","133","","","","0"
"2021/2022","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","632","","","","0"
"2022/2023","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","1321","","","","0"
"2023/2024","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","1264","","","","0"
"2024/2025","Saint John (CMA), New Brunswick","2021S0503310","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590016125","7.10.1.1","59","","","","0"
"2015/2016","Saint John (CMA), New Brunswick","2021S0503310","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590016467","7.11.1.1","66","","","","0"
"2016/2017","Saint John (CMA), New Brunswick","2021S0503310","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590016467","7.11.1.1","27","","","","0"
"2017/2018","Saint John (CMA), New Brunswick","2021S0503310","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590016467","7.11.1.1","15","","","","0"
"2018/2019","Saint John (CMA), New Brunswick","2021S0503310","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590016467","7.11.1.1","46","","","","0"
"2019/2020","Saint John (CMA), New Brunswick","2021S0503310","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590016467","7.11.1.1","32","","","","0"
"2020/2021","Saint John (CMA), New Brunswick","2021S0503310","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590016467","7.11.1.1","48","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","1059","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","1057","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","1017","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","956","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","981","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","990","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","976","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","960","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","996","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Births","Total - gender","All ages","Persons","249","units","0","v1590016473","8.1.1.1","1040","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","741","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","796","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","861","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","845","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","861","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","843","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","1000","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","1004","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","974","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Deaths","Total - gender","All ages","Persons","249","units","0","v1590016815","8.2.1.1","987","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1433","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1103","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1262","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1444","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1086","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","548","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1305","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1787","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","2087","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590017157","8.3.1.1","1869","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","133","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","105","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","91","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","19","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","-8","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","-17","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","24","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","99","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","125","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Net emigration","Total - gender","All ages","Persons","249","units","0","v1590017499","8.4.1.1","138","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","162","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","211","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","207","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","158","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","133","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","110","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","128","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","147","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","233","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Emigrants","Total - gender","All ages","Persons","249","units","0","v1590017841","8.5.1.1","247","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","81","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","106","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","116","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","139","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","141","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","127","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","104","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","48","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","108","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Returning emigrants","Total - gender","All ages","Persons","249","units","0","v1590018183","8.6.1.1","109","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Net temporary emigration","Total - gender","All ages","Persons","249","units","0","v1590018525","8.7.1.1","52","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","-716","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","-278","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","-372","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","-189","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","-111","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","320","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","729","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","526","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","607","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Net interprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590018867","8.8.1.1","-290","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","960","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","482","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","636","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","436","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","378","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","355","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","370","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","161","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","467","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Net intraprovincial migration","Total - gender","All ages","Persons","249","units","0","v1590019209","8.9.1.1","391","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","-3","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","184","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","164","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","261","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","137","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","-49","","","","0"
"2021/2022","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","1107","","","","0"
"2022/2023","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","1848","","","","0"
"2023/2024","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","1591","","","","0"
"2024/2025","Fredericton (CMA), New Brunswick","2021S0503320","Net non-permanent residents","Total - gender","All ages","Persons","249","units","0","v1590019551","8.10.1.1","110","","","","0"
"2015/2016","Fredericton (CMA), New Brunswick","2021S0503320","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590019893","8.11.1.1","-449","","","","0"
"2016/2017","Fredericton (CMA), New Brunswick","2021S0503320","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590019893","8.11.1.1","-545","","","","0"
"2017/2018","Fredericton (CMA), New Brunswick","2021S0503320","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590019893","8.11.1.1","-556","","","","0"
"2018/2019","Fredericton (CMA), New Brunswick","2021S0503320","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590019893","8.11.1.1","-544","","","","0"
"2019/2020","Fredericton (CMA), New Brunswick","2021S0503320","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590019893","8.11.1.1","-542","","","","0"
"2020/2021","Fredericton (CMA), New Brunswick","2021S0503320","Residual deviation","Total - gender","All ages","Persons","249","units","0","v1590019893","8.11.1.1","-489","","","","0"
"2015/2016","Saguenay (CMA), Quebec","2021S0503408","Births","Total - gender","All ages","Persons","249","units","0","v1590064437","9.1.1.1","1631","","","","0"
"2016/2017","Saguenay (CMA), Quebec","2021S0503408","Births","Total - gender","All ages","Persons","249","units","0","v1590064437","9.1.1.1","1475","","","","0"
"2017/2018","Saguenay (CMA), Quebec","2021S0503408","Births","Total - gender","All ages","Persons","249","units","0","v1590064437","9.1.1.1","1511","","","","0"
