"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","232536","","","","0"
"2024","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","240428","","","","0"
"2025","St. John's (CMA), Newfoundland and Labrador","2021S0503001","Total - gender","All ages","Persons","249","units","0","v1589858712","4.1.1","243478","","","","0"
"2015","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","432541","","","","0"
"2016","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","438022","","","","0"
"2017","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","445326","","","","0"
"2018","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","453010","","","","0"
"2019","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","462737","","","","0"
"2020","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","473565","","","","0"
"2021","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","482144","","","","0"
"2022","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","498222","","","","0"
"2023","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","515453","","","","0"
"2024","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","536372","","","","0"
"2025","Halifax (CMA), Nova Scotia","2021S0503205","Total - gender","All ages","Persons","249","units","0","v1589863197","5.1.1","544834","","","","0"
"2015","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","146608","","","","0"
"2016","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","148470","","","","0"
"2017","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","150156","","","","0"
"2018","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","152020","","","","0"
"2019","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","155078","","","","0"
"2020","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","158135","","","","0"
"2021","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","161376","","","","0"
"2022","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","168356","","","","0"
"2023","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","178208","","","","0"
"2024","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","190477","","","","0"
"2025","Moncton (CMA), New Brunswick","2021S0503305","Total - gender","All ages","Persons","249","units","0","v1589866302","6.1.1","196143","","","","0"
"2015","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","128417","","","","0"
"2016","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","129019","","","","0"
"2017","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","129658","","","","0"
"2018","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","130432","","","","0"
"2019","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","131349","","","","0"
"2020","Saint John (CMA), New Brunswick","2021S0503310","Total - gender","All ages","Persons","249","units","0","v1589866647","7.1.1","132226","","","","0"
